title,authors,year,source
"Obstructive sleep apnea and the incidence and mortality of gastrointestinal cancers: a systematic review and meta-analysis of 5,120,837 participants",Teo Y.H.,2022,Journal of Gastrointestinal Oncology
"Prognostic value of desmoplastic stromal reaction, tumor budding and tumor-stroma ratio in stage II colorectal cancer",Fan S.,2022,Journal of Gastrointestinal Oncology
Common Variants in Neuraminidase Genes Contribute to Predisposition to and Progression of Chronic Heart Failure,Li S.,2022,Human Heredity
A new cardiovascular disease risk factor for young adults: Preterm birth,Brewer P.L.,2022,Journal of the American Association of Nurse Practitioners
Adiposity and insulin resistance mediate the inverse association between legume intake and blood pressure: a cross-sectional analysis in secondary cardiovascular prevention,de Almeida A.P.,2022,British Journal of Nutrition
Higher radiation doses after partial laryngectomy may raise the incidence of pneumonia: A retrospective cohort study,Lv G.,2022,Frontiers in Oncology
Non-communicable diseases in a time of infection,Surana H.,2022,BMJ Innovations
Analysis of Time to Diagnosis and Outcomes among Adults with Primary Hyperparathyroidism,Lorenz F.J.,2022,JAMA Network Open
Angiotensin Receptor Blockers Not Effective Against COVID-19,Slomski A.,2022,JAMA
Peri-operative complications of sphenopalatine artery ligation: a 10-year series from two secondary care centres,Yip H.M.,2022,Journal of Laryngology and Otology
"A pathway phenotype linking metabolic, immune, oxidative, and opioid pathways with comorbid depression, atherosclerosis, and unstable angina",Mousa R.F.,2022,CNS Spectrums
Probiotics for preventing gestational diabetes in overweight or obese pregnant women: A review,Deng Y.F.,2022,World Journal of Clinical Cases
Hoffa's fracture in a five-year-old child diagnosed and treated with the assistance of arthroscopy: A case report,Chen Z.H.,2022,World Journal of Clinical Cases
Risk of critical limb ischemia in long-term uterine cancer survivors: A population-based study,Chen M.C.,2022,World Journal of Clinical Cases
Short-term prone positioning for severe acute respiratory distress syndrome after cardiopulmonary bypass: A case report and literature review,Yang J.H.,2022,World Journal of Clinical Cases
Antibody and complement levels in patients with hypersplenism associated with cirrhotic portal hypertension and therapeutic principles,Zhang K.,2022,World Journal of Clinical Cases
Pregnancy-induced leukocytosis: A case report,Wang X.,2022,World Journal of Clinical Cases
Laparoscopic treatment of pyogenic liver abscess caused by fishbone puncture through the stomach wall and into the liver: A case report,Kadi A.,2022,World Journal of Clinical Cases
"Impact of the virtual anti-hypertensive educational campaign towards knowledge, attitude, and practice of hypertension management during the COVID-19 pandemic",Andrianto A.,2022,World Journal of Cardiology
Staphylococcus aureus bacteremia and infective endocarditis in a patient with epidermolytic hyperkeratosis: A case report,Chen Y.,2022,World Journal of Clinical Cases
Features of Surgical Treatment of Patients with Splenic Artery Aneurysms (Case Report and Literature Review),Orel Y.H.,2022,Ukrainskyi Zhurnal Sertsevo-sudynnoi Khirurhii
Case of Dilated Cardiomyopathy in Combination with Left Atrial Myxoma and Left Atriomegaly (Rare Clinical Case),Popov V.V.,2022,Ukrainskyi Zhurnal Sertsevo-sudynnoi Khirurhii
Demographic and Genome Wide Association Analyses According to Muscle Mass Using Data of the Korean Genome and Epidemiology Study,Gim J.A.,2022,Journal of Korean medical science
Outcomes of Functionally Complete vs Incomplete Revascularization: Insights From the FAVOR III China Trial,Zhang R.,2022,JACC: Cardiovascular Interventions
Early Outcomes of 2 Mitral Valve Transcatheter Leaflet Approximation Devices: A Propensity Score–Matched Multicenter Comparison,Mauri V.,2022,JACC: Cardiovascular Interventions
Constructional Impairments and Their Neural Correlates in Nondemented Adults with Cerebral Autosomal-dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy,De Lucia N.,2022,Cognitive and Behavioral Neurology
Intravenous Lidocaine in Chronic Neuropathic Pain: A Systematic Review,Lee J.H.,2022,Clinical Journal of Pain
Influencing factors of nucleic acid negative conversion in patients with mild and common COVID-19 induced by the Omicron variant of SARS-COV-2,Chen Y.,2022,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences
"Preparation, Characterization and Transdermal Permeation of Losartan-Amlodipine Molecular Salt",Al Khawaja A.Y.,2022,Jordan Journal of Pharmaceutical Sciences
circ-BPTF serves as a miR-486-5p sponge to regulate CEMIP and promotes hypoxic pulmonary arterial smooth muscle cell proliferation in COPD,Wang C.,2022,Acta biochimica et biophysica Sinica
Noncommunicable Diseases and Hospital Utilization in Kuwait: A Generalizable Approach Using the World Health Survey,Alibrahim A.,2022,Medical Principles and Practice
HMGB1/RAGE axis accelerates the repair of HUVECs injured by pathological mechanical stretching via promoting bFGF expression,Ma H.,2022,Biochemical and Biophysical Research Communications
"Current status of hypertension prevalence, treatment and control rate among young and middle-aged population in China",Wang X.,2022,Zhonghua xin xue guan bing za zhi
A simple and reproducible measure of adipose depots with non-contrast post-mortem computed tomography Adipose measurement using non-contrast computed tomography,Moore M.,2022,IMAGING
Physiological and pathological roles of Ang II and Ang- (1-7) in the female reproductive system,Liu Y.,2022,Frontiers in Endocrinology
An updated meta-analysis of device related thrombus following left atrial appendage closure in patients with atrial fibrillation,Zhang S.,2022,Frontiers in Cardiovascular Medicine
Clinical cure rate of inactive HBsAg carriers with HBsAg &lt;200 IU/ml treated with pegylated interferon,Li H.,2022,Frontiers in Immunology
Safety and immunogenicity of inactivated COVID-19 vaccine in patients with metabolic syndrome: A cross-sectional observational study,Guo Q.,2022,Frontiers in Public Health
Effect of posterior pericardiotomy in cardiac surgery: A systematic review and meta-analysis of randomized controlled trials,Soletti G.J.,2022,Frontiers in Cardiovascular Medicine
Dinutuximab beta plus conventional chemotherapy for relapsed/refractory high-risk neuroblastoma: A single-center experience,Olgun N.,2022,Frontiers in Oncology
Multiple Candida strains causing oral infection in COVID-19 patients under corticosteroids and antibiotic therapy: An observational study,Babamahmoodi F.,2022,Frontiers in Cellular and Infection Microbiology
"Editorial: Chronic inflammation, oxidative stress and lipoprotein metabolism in cardio-pulmonary continuum",Sorokin A.V.,2022,Frontiers in Cardiovascular Medicine
"Elevated serum leptin levels are associated with lower renal function among middle-aged and elderly adults in Taiwan, a community-based, cross-sectional study",Shih Y.L.,2022,Frontiers in Endocrinology
Diabetes mellitus with a duration of 26 years combined with IgA nephropathy: A case report and literature review,Gou Y.L.,2022,Frontiers in Endocrinology
Successful treatment of extensive-stage small cell lung cancer with concurrent pleural and pericardial effusions: Case report,Kashima A.,2022,Frontiers in Oncology
Preoperative prediction of residual back pain after vertebral augmentation for osteoporotic vertebral compression fractures: Initial application of a radiomics score based nomogram,Ge C.,2022,Frontiers in Endocrinology
Potential role of 25(OH)D insufficiency in the dysfunction of glycolipid metabolism and cognitive impairment in patients with T2DM,Sun H.M.,2022,Frontiers in Endocrinology
Characteristics of macrophage-like cells in acute nonarteritic anterior ischemic optic neuropathy and the normal fellow eyes on en face optical coherence tomography,Wang W.,2022,Frontiers in Immunology
Case report: Gemcitabine intravesical hyperthermic infusion combined with tislelizumab in muscle invasive bladder urothelium carcinoma,Du Z.,2022,Frontiers in Oncology
C-reactive protein and statins in heart failure with reduced and preserved ejection fraction,Park J.J.,2022,Frontiers in Cardiovascular Medicine
Geriatric nutritional risk index as a prognostic factor in patients with hepatocellular carcinoma following transarterial chemoembolization: A retrospective study,Si Y.,2022,Medicine (United States)
Clinical value of thyroid related hormones combined with neutrophil to lymphocyte ratio in patients with nonalcoholic fatty liver disease,Li P.,2022,Medicine (United States)
A preoperative parathyroid scan is important for the total removal of the transplanted parathyroid tissue in recurrent secondary hyperthyroidism: A case report and literature review,Guo X.L.,2022,Medicine (United States)
Use of continuous infusion of nicardipine to control persistent postpartum hypertension: A retrospective study,Kim M.K.,2022,Medicine (United States)
Regional variation of medical expenditures attributable to hypertension in China's middle-aged and elderly population,Sheng H.,2022,Medicine (United States)
The relationship between leukocyte level and hypertension in elderly patients with hyperuricemia,Shen L.,2022,Medicine (United States)
Adherence to hypertension and dyslipidemia treatment and its implication on control of cardiovascular disease in Vietnam: A semi-systematic review,Hung P.M.,2022,Medicine (United States)
"Awareness of stroke signs, symptoms, and risk factors among Jazan University students: An analytic cross-sectional study from Jazan, Saudi Arabia",Khalafalla H.E.,2022,Medicine (United States)
"The length of hospital stays and clinical and therapeutic characteristics of patients with COVID-19 early in the pandemic in Taif City, KSA: A retrospective study",Abduljabbar M.,2022,Medicine (United States)
Balloon-expandable stents for native coarctation of the aorta in children and adolescents,Kasar T.,2022,Medicine (United States)
The first case of bipolar transurethral resection of the prostate for giant prostatic hyperplasia: A case report,Cui D.,2022,Medicine (United States)
Effects of acupuncture on sensory symptoms and motor signs in patients with restless legs syndrome: A crossover randomized controlled trial,Fukutome T.,2022,Medicine (United States)
A rare case report of iatrogenic Cushing syndrome caused by direct anti-hepatitis C virus therapy with sofosbuvir/velpatasvir,Ma B.,2022,Medicine (United States)
"Prevalence of and factors associated with multimorbidity among 18 101 adults in the South East Asia Community Observatory Health and Demographic Surveillance System in Malaysia: a population-based, cross-sectional study of the MUTUAL consortium",Tan M.M.C.,2022,BMJ open
"Experience of suffering in patients with hypertension: a qualitative analysis of in-depth interview of patients in a university hospital in Seoul, Republic of Korea",Sung J.,2022,BMJ open
Predicting the response to methylprednisolone pulses in patients with SARS-COV-2 infection,Sarriá-Landete A.J.,2022,Medicina Clinica
Impact of dexamethasone and tocilizumab on hematological parameters in COVID-19 patients with chronic disease,Qutob H.M.H.,2022,Medicina Clinica
"The influence of hypertension, diabetes, lipid disorders and the presence of the APOE4 allele on the cognitive functions of patients over 65 years of age",Zachara R.,2022,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego
Inflammation and oxidative stress in salt sensitive hypertension; The role of the NLRP3 inflammasome,Ertuglu L.A.,2022,Frontiers in Physiology
Glycohemoglobin: A new warning strategy for non-alcoholic fatty liver disease: Study from the NHANES 2017- 2020,Hou J.,2022,Frontiers in Endocrinology
The clinical characteristics and risk factors for severe COVID-19 in patients with COVID-19 and tuberculosis coinfection,Wang Y.,2022,Frontiers in Microbiology
Efficacy and safety of lenvatinib versus sorafenib in first-line treatment of advanced hepatocellular carcinoma: A meta-analysis,Luo J.,2022,Frontiers in Oncology
Research progress on the role of ferroptosis in cardiovascular disease,Li H.,2022,Frontiers in Cardiovascular Medicine
Endothelial glycocalyx in hepatopulmonary syndrome: An indispensable player mediating vascular changes,Li L.,2022,Frontiers in Immunology
"A percutaneous treatment strategy of an adult patient with a bicuspid aortic valve, coarctation of the aorta, and an exceptionally large aneurysm of a collateral artery: Case report and literature overview",Verheijen D.B.H.,2022,Frontiers in Cardiovascular Medicine
Efficacy and safety of endovascular treatment in patients older than 90 with acute ischemic stroke: A retrospective cohort study,Itamar F.,2022,Frontiers in Neurology
"Acupuncture for hypertension with insomnia: Study protocol for a randomized, sham-controlled, subject-and-assessor-blinded trial",Wang X.,2022,Frontiers in Psychiatry
Mechanisms mediating the impact of maternal obesity on offspring hypothalamic development and later function,Furigo I.C.,2022,Frontiers in Endocrinology
Short-term outcomes of deeper intubation technique of ileus tube for different types of acute intestinal obstruction patients: A retrospective multicenter study,Tan Y.,2022,Frontiers in Oncology
Systemic complications of rheumatoid arthritis: Focus on pathogenesis and treatment,Wu D.,2022,Frontiers in Immunology
Editorial: Advances in radiotherapy for prostate cancer,Kamran S.C.,2022,Frontiers in Oncology
Prevalence of restless legs syndrome during the 2019 coronavirus disease pandemic in South Korea: A nationwide cross-sectional population-based study,Kim J.,2022,Frontiers in Neurology
Physician antibiotic hydration preferences for biologic antibacterial envelopes during cardiac implantable device procedures,Deering T.F.,2022,Frontiers in Cardiovascular Medicine
The influence of testosterone on the risk of cardiovascular events after percutaneous coronary intervention,Chiang C.H.,2022,Frontiers in Cardiovascular Medicine
Aprocitentan: New insights,Varzideh F.,2022,Frontiers in Cardiovascular Medicine
A nomogram prediction model for early death in patients with persistent pulmonary hypertension of the newborn,Lin C.,2022,Frontiers in Cardiovascular Medicine
Survival prediction using the Freiburg index of post-TIPS survival (FIPS) in critically ill patients with acute- on chronic liver failure: A retrospective observational study,Luxenburger H.,2022,Frontiers in Medicine
Hepatic sarcoidosis with symptomatic portal hypertension: A report of 12 cases with review of the literature,Fauter M.,2022,Frontiers in Medicine
Exercise and nutrition in type 1 diabetes: Insights from the FinnDiane cohort,Pongrac Barlovic D.,2022,Frontiers in Endocrinology
Osteopontin - The stirring multifunctional regulatory factor in multisystem aging,Du Y.,2022,Frontiers in Endocrinology
Management of outpatients by specialists in heart failure: argentine survey of diagnosis and treatment of heart failure (ENARGIC),Escalante J.P.,2022,Revista de la Federacion Argentina de Cardiologia
Chemometric and Design of Experiments-Based Analytical Quality by Design and Green Chemistry Approaches to Multipurpose High-Pressure Liquid Chromatographic Method for Synchronous Estimation of Multiple Fixed-Dose Combinations of Azilsartan Medoxomil,Prajapati P.,2022,Journal of AOAC International
Stakeholder perspectives on the demand and supply factors driving substandard and falsified blood pressure lowering medications in Nigeria: a qualitative study,Shedul G.,2022,BMJ open
"Association of 5α-Reductase Inhibitors with Dementia, Depression, and Suicide",Garcia-Argibay M.,2022,JAMA Network Open
Neurogenic orthostatic hypotension after treatment with sorafenib,Wegner Wippel C.,2022,BMJ Case Reports
Evidence-based guidelines for hypertension and diabetes in sub-Saharan Africa: a scoping review,Nagavci B.,2022,BMJ open
Metabolic adverse events associated with systemic corticosteroid therapy - A systematic review and meta-analysis,Kulkarni S.,2022,BMJ Open
Levofloxacin-associated transient mixed sensorimotor lacunar syndrome,Michelassi F.,2022,BMJ Case Reports
Woman with alternating QRS in the emergency department: What is happening?,Lopez-Lizarraga M.A.,2022,Heart
Digital solution for detection of undiagnosed diabetes using machine learning-based retinal image analysis,Zee B.,2022,BMJ Open Diabetes Research and Care
Associations and mitigations: An analysis of the changing risk factor landscape for chronic kidney disease in primary care using national general practice level data,Stedman M.,2022,BMJ Open
Anti-angiogenic drugs and hypertension: from multidisciplinary collaboration to greater care,Tunesi F.,2022,Giornale italiano di nefrologia : organo ufficiale della Societa italiana di nefrologia
A Case Report of an Incidental Ultrasound Finding in a Suspected Malignant Hyperthermia Patient,Fu P.H.,2022,A and A Practice
Hematoma after Continuous Erector Spinae Plane Block with Catheter Placement: A Case Report,Williamson E.S.,2022,A and A Practice
Acute Intraoperative Hyperkalemia during Robot-Assisted Radical Cystectomy: A Case Report,Srinivasaraghavan N.,2022,A and A Practice
Rotational atherectomy for chronically and totally occluded coronary lesions: A propensity score-matched outcomes study,Tsai T.C.,2022,Frontiers in Cardiovascular Medicine
Outcomes of transcatheter edge-to-edge mitral valve repair with percutaneous coronary intervention vs. surgical mitral valve repair with coronary artery bypass grafting,Wang X.,2022,Frontiers in Cardiovascular Medicine
"Efficacy and safety of ciprofol-remifentanil versus propofol-remifentanil during fiberoptic bronchoscopy: A prospective, randomized, double-blind, non-inferiority trial",Wu B.,2022,Frontiers in Pharmacology
Echocardiography protocol: A tool for infrequently used parameters in mice,Todd E.A.,2022,Frontiers in Cardiovascular Medicine
Early detection of immune checkpoint inhibitor-related subclinical cardiotoxicity: A pilot study by using speckle tracking imaging and three-dimensional echocardiography,Xu A.,2022,Frontiers in Cardiovascular Medicine
Construction and evaluation of nomogram model for individualized prediction of risk of major adverse cardiovascular events during hospitalization after percutaneous coronary intervention in patients with acute ST-segment elevation myocardial infarction,Fang C.,2022,Frontiers in Cardiovascular Medicine
Liver-related long-term outcomes of alpha-glucosidase inhibitors in patients with diabetes and liver cirrhosis,Yen F.S.,2022,Frontiers in Pharmacology
Pulmonary fibrosis in patients with COVID-19: A retrospective study,Li F.,2022,Frontiers in Cellular and Infection Microbiology
The association between iliac vein compression degree and characteristics of first diagnosed left lower extremity deep vein thrombosis,Shi Y.,2022,Frontiers in Cardiovascular Medicine
Non-linear relationship between albumin-corrected calcium and 30-day in-hospital mortality in ICU patients: A multicenter retrospective cohort study,Qin X.,2022,Frontiers in Endocrinology
Effect of exercise on vascular function in hypertension patients: A meta-analysis of randomized controlled trials,Zhou H.,2022,Frontiers in Cardiovascular Medicine
Percutaneous coronary intervention improves quality of life of patients with chronic total occlusion and low estimated glomerular filtration rate,Zhao S.,2022,Frontiers in Cardiovascular Medicine
Neutralizing antibody titers to Omicron six months after vaccination with BNT162b2 in Colombia,Zapata-Cardona M.I.,2022,Frontiers in Immunology
Analysis of healthcare-associated infection in patients with pulmonary arterial hypertension associated with congenital heart disease in PICU: Evidence from a tertiary hospital in western China,Li J.W.,2022,Frontiers in Pediatrics
Dapagliflozin reduces plasma concentration of plasminogen activator inhibitor‑1 in patients with heart failure with preserved ejection fraction and type 2 diabetes,Dziewierz A.,2022,Polish Archives of Internal Medicine
Atherosclerotic renovascular disease and cardiovascular risk: new concepts,Januszewicz A.,2022,Polish Archives of Internal Medicine
Dose-dependent relationship of blood pressure and glycaemic status with risk of aortic dissection and aneurysm,Suzuki Y.,2022,European journal of preventive cardiology
Blood pressure lowering and prevention of dementia: an individual patient data meta-analysis,Peters R.,2022,European Heart Journal
To prevent hypertension in Africans: do we need to eat more vegetables?,Agbaje A.O.,2022,European journal of preventive cardiology
Hypertension and diabetes versus the risk of aortic disease: a new look on prevention?,Hibino M.,2022,European journal of preventive cardiology
A Unique Case of Central Line Fracture Due to Laser Lead Extraction,Towheed A.,2022,JACC: Case Reports
Transcatheter Valve Implantation in Reversed Potts Shunt in Pulmonary Arterial Hypertension: Keeping the Shunt Reversed,Goldar G.,2022,JACC: Case Reports
Surgery for Aneurysmal Coronary Artery Fistulas to the Coronary Sinus in Adults: A Case Series,Iacona G.M.,2022,JACC: Case Reports
3-Dimensional Images of Mitral Annulus Perforation: An Alien's Mouth,Cagli K.,2022,JACC: Case Reports
A Novel Interventional Approach to LV Pseudoaneurysm Compressing on LAD by Utilizing LAA Closure Device,Khorsandi M.,2022,JACC: Case Reports
Total Transfemoral Percutaneous Endovascular Aortic Arch Repair Using 3-Vessel Inner Branch Stent-Graft,Tenorio E.R.,2022,JACC: Case Reports
Transradial-Transfistula Access for Cardiac Catheterization in Patients With Abandoned Hemodialysis Fistulas,Haroian N.Q.,2022,JACC: Case Reports
The “Lollipop” During Catheter-Directed Thrombectomy: 2 Case Examples,Concha D.,2022,JACC: Case Reports
Expert consensus on transjugular intrahepatic portosystemic shunt for the treatment of portal hypertension,No authors available,2022,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology
Emphasis on the prevention and treatment of hepatic vascular diseases,Tang C.W.,2022,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology
Consensus and inconsistency between different consensus documents on renal denervation worldwide: the way forward,Wang T.D.,2022,Chinese Medical Journal
Time of the low-level cardiopulmonary exercise test does not affect the evaluation of acute myocardial infarction in stable status,Zhao L.,2022,Frontiers in Cardiovascular Medicine
Markers of extracellular matrix remodeling and systemic inflammation in patients with heritable thoracic aortic diseases,Seim B.E.,2022,Frontiers in Cardiovascular Medicine
Incidence of atrial functional tricuspid regurgitation and its correlation with tricuspid valvular deformation in patients with persistent atrial fibrillation,Yamamoto Y.,2022,Frontiers in Cardiovascular Medicine
Edgeworthia gardneri (Wall.) Meisn. extract protects against myocardial infarction by inhibiting NF-κB-and MAPK-mediated endothelial inflammation,Wei D.,2022,Frontiers in Cardiovascular Medicine
Epidemiology and risk factors of nasal carriage of Staphylococcus aureus CC398 in two distinct cohorts in France,Bouiller K.,2022,Frontiers in Microbiology
"Outcomes of treatment for right atrial isomerism with functional single ventricle and extracardiac total anomalous pulmonary venous connection beyond neonatal period: Delayed surgical treatment, improving outcomes",Chen W.,2022,Frontiers in Cardiovascular Medicine
Pleiotropic effect of sodium-glucose cotransporter 2 inhibitors on blood pressure,Kao T.W.,2022,Frontiers in Cardiovascular Medicine
The prevalence of hypertension and its associated risk factors among older adults in Ghana,Dai B.,2022,Frontiers in Cardiovascular Medicine
Evaluation of risk stratification program based on trajectories of functional capacity in patients with acute coronary syndrome: The REACP study,Li D.,2022,Frontiers in Cardiovascular Medicine
Mitochondrial dysfunction in vascular endothelial cells and its role in atherosclerosis,Qu K.,2022,Frontiers in Physiology
Significance of pleural effusion detected by metagenomic next-generation sequencing in the diagnosis of aspiration pneumonia,Zhu L.,2022,Frontiers in Cellular and Infection Microbiology
Community engagement for birth preparedness and complication readiness in the Community Level Interventions for Pre-eclampsia (CLIP) Trial in India: A mixed-method evaluation,Kavi A.,2022,BMJ Open
Circulating miR-29b decrease in response to sarcopenia in patients with cardiovascular risk factors in older Chinese,He N.,2022,Frontiers in Cardiovascular Medicine
Association of caffeine intake with all-cause and cardiovascular mortality in elderly patients with hypertension,Chen S.,2022,Frontiers in Nutrition
Severe early-onset manifestations of generalized arterial calcification of infancy (mimicking severe coarctation of the aorta) with ABCC6 gene variant — Case report and literature review,Fãgãrãşan A.,2022,Frontiers in Cardiovascular Medicine
Prognostic implication of left ventricular hypertrophy regression after antihypertensive therapy in patients with hypertension,Kim H.M.,2022,Frontiers in Cardiovascular Medicine
Diagnosis and Course of Membranous Nephropathy in Adults: Comparison by Age Group,Paulo R.P.M.B.,2022,Kidney and Blood Pressure Research
Brain Enlarged Perivascular Spaces as Imaging Biomarkers of Cerebrovascular Disease: A Clinical Narrative Review,Ramaswamy S.,2022,Journal of the American Heart Association
"Clinical Characteristics, Incidences, and Mortality Rates for Type A and B Aortic Dissections: A Nationwide Danish Population-Based Cohort Study from 1996 to 2016",Obel L.M.,2022,Circulation
Cross-Sectional Relationships of Proximal Aortic Stiffness and Left Ventricular Diastolic Function in Adults in the Community,Spetko N.,2022,Journal of the American Heart Association
PVECs-Derived Exosomal microRNAs Regulate PASMCs via FoxM1 Signaling in IUGR-induced Pulmonary Hypertension,Luo X.,2022,Journal of the American Heart Association
"Nitrites, Nitrates, and Cardiovascular Outcomes: Are We Living “La Vie en Rose” With Pink Processed Meats?",Srour B.,2022,Journal of the American Heart Association
SerpinG1: A Novel Biomarker Associated With Poor Coronary Collateral in Patients With Stable Coronary Disease and Chronic Total Occlusion,Chen S.,2022,Journal of the American Heart Association
Association of Chronic Covert Cerebral Infarctions and White Matter Hyperintensities With Atrial Fibrillation Detection on Post-Stroke Cardiac Rhythm Monitoring: A Cohort Study,Amberger U.,2022,Journal of the American Heart Association
